OID,FID,COUNT,AREA,MAX
-1,2554,3,0.750000000000000,0.087000012397766
-1,2577,5,1.250000000000000,0.073083281517029
-1,2583,1,0.250000000000000,0.057294137775898
-1,2593,8,2.000000000000000,0.079678654670715
-1,2625,2,0.500000000000000,0.082121968269348
-1,2647,1,0.250000000000000,0.070769190788269
-1,2687,1,0.250000000000000,0.046464323997498
-1,2688,2,0.500000000000000,0.040826916694641
-1,2703,2,0.500000000000000,0.041792392730713
-1,2722,3,0.750000000000000,0.085000038146973
-1,2734,2,0.500000000000000,0.063678622245789
-1,2827,1,0.250000000000000,0.044000029563904
-1,2834,5,1.250000000000000,0.074000000953674
-1,2853,1,0.250000000000000,0.047742366790771
-1,2855,4,1.000000000000000,0.059999942779541
-1,2856,2,0.500000000000000,0.047999978065491
-1,2860,2,0.500000000000000,0.067000031471252
-1,2880,4,1.000000000000000,0.068083286285400
-1,2881,4,1.000000000000000,0.102083325386047
-1,2882,2,0.500000000000000,0.056999921798706
-1,2899,1,0.250000000000000,0.053000092506409
-1,2906,2,0.500000000000000,0.032776985317469
-1,2907,1,0.250000000000000,0.048999905586243
-1,2908,2,0.500000000000000,0.055999994277954
-1,2921,4,1.000000000000000,0.106833338737488
-1,2923,1,0.250000000000000,0.182000041007996
-1,2924,1,0.250000000000000,0.042840003967285
-1,2928,6,1.500000000000000,0.088999986648560
-1,2929,1,0.250000000000000,0.062999963760376
-1,2952,1,0.250000000000000,0.044999957084656
-1,2953,1,0.250000000000000,0.046397089958191
-1,2985,2,0.500000000000000,0.112833380699158
-1,2999,1,0.250000000000000,0.045770406723022
-1,3017,4,1.000000000000000,0.054083347320557
-1,3038,1,0.250000000000000,0.042999982833862
-1,3039,1,0.250000000000000,0.041000008583069
-1,3050,1,0.250000000000000,0.082769155502319
-1,3065,14,3.500000000000000,0.148083329200745
-1,3080,9,2.250000000000000,0.102083325386047
-1,3087,1,0.250000000000000,0.073032259941101
-1,3094,1,0.250000000000000,0.136979579925537
-1,3099,1,0.250000000000000,0.080651164054871
-1,3109,5,1.250000000000000,0.102495566010475
-1,3110,5,1.250000000000000,0.112367056310177
-1,3127,3,0.750000000000000,0.117083311080933
-1,3128,15,3.750000000000000,0.143083333969116
-1,3132,3,0.750000000000000,0.055999994277954
-1,3177,5,1.250000000000000,0.122882366180420
-1,3209,2,0.500000000000000,0.049504734575748
-1,3221,1,0.250000000000000,0.064000010490417
-1,3233,3,0.750000000000000,0.069000005722046
-1,3234,4,1.000000000000000,0.057999968528748
-1,3235,3,0.750000000000000,0.066769242286682
-1,3236,2,0.500000000000000,0.076769232749939
-1,3250,1,0.250000000000000,0.049999952316284
-1,3251,4,1.000000000000000,0.162083268165588
-1,3252,9,2.250000000000000,0.137083292007446
-1,3289,2,0.500000000000000,0.093999981880188
-1,3292,2,0.500000000000000,0.086000084877014
-1,3309,1,0.250000000000000,0.058000087738037
-1,3320,3,0.750000000000000,0.104833364486694
-1,3321,1,0.250000000000000,0.087833285331726
-1,3325,1,0.250000000000000,0.041000008583069
-1,3331,2,0.500000000000000,0.139999985694885
-1,3332,2,0.500000000000000,0.125000000000000
-1,3373,1,0.250000000000000,0.042999982833862
-1,3374,1,0.250000000000000,0.046000003814697
-1,3379,1,0.250000000000000,0.046979188919067
-1,3409,2,0.500000000000000,0.054000020027161
-1,3417,3,0.750000000000000,0.066083312034607
-1,3442,3,0.750000000000000,0.067000031471252
-1,3476,1,0.250000000000000,0.042924523353577
-1,3479,2,0.500000000000000,0.082999944686890
-1,3481,4,1.000000000000000,0.111000061035156
-1,3511,2,0.500000000000000,0.052999973297119
-1,3518,2,0.500000000000000,0.060999989509583
-1,3526,3,0.750000000000000,0.069000005722046
-1,3527,1,0.250000000000000,0.051890850067139
-1,3540,3,0.750000000000000,0.095631599426270
-1,3577,8,2.000000000000000,0.094573467969894
-1,3578,4,1.000000000000000,0.127663120627403
-1,3588,7,1.750000000000000,0.121780022978783
-1,3592,2,0.500000000000000,0.049130439758301
-1,3594,1,0.250000000000000,0.048642873764038
-1,3611,4,1.000000000000000,0.105000019073486
-1,3612,2,0.500000000000000,0.073000073432922
-1,3636,1,0.250000000000000,0.059000015258789
-1,3637,1,0.250000000000000,0.075000047683716
